,item,itemLabel,date,coord,latitude,longitude
1,Q98931743,Battle of Metaxades,1949-05-15,NA,41.42 ,26.225278 
2,Q29468626,Battle of Mines,NA,NA,,
3,Q1772340,Battle of Elaiaâ€“Kalamas,1940-11-08,Point(20.1422 39.5867),39.5867,20.1422
4,Q716722,Battle of Pindus,1940-11-13,Point(20.9253 40.0889),40.0889,20.9253
5,Q18121569,Battle of Agios Vasileios,1949-01-22,Point(22.689172222 37.187097222),37.187097222222,22.689172222222
6,Q18572820,Battle of Byzani Street,1944-07-24,NA,37.961254,23.705382
7,Q15991321,Battle of Karoutes,1944-08-05,NA,38.3135,22.1546
8,Q12880416,Battle of Chora - Agorelitsa,1944-07-19,Point(21.705991 37.054952),37.054952,21.705991
9,Q20552658,Battle of Florina,1949-02-12,Point(21.408888888 40.782777777),40.782777777778,21.408888888889
10,Q15896585,Battle of Kilkis,1944-11-04,Point(22.866667 40.983333),40.983333,22.866667
11,Q16331929,Battle of Fardykambos,1943-03-06,,40.1359,21.3250
